Region,Distrikt,Resultatenhet,Resultatenhetnamn,Adress,Postnr,Ort,FakturaAdress,FakturaPostnr,FakturaOrt,Telefon,Telefax,EPost,Arbetsplatskod,Filial,Filialnamn,FilialAdress,FilialPostnr,FilialOrt,FilialTelefon,FilialTelefax,FilialEPost,FilialArbetsplatskod
 Marknadsområden, MO Norr,155,Dalarna,Borganäsvägen 30,784 33,BORLÄNGE,Borganäsvägen 30,784 33,BORLÄNGE,0771-230000,0243-82394,borlange@previa.se,209900220,,,,,,,,,
 Marknadsområden, MO Norr,155,Dalarna,Borganäsvägen 30,784 33,BORLÄNGE,Borganäsvägen 30,784 33,BORLÄNGE,0771-230000,0243-82394,borlange@previa.se,209900220,155,BORLÄNGE,Borganäsvägen 30,784 33,Borlänge,0771-230000,0243-82394,borlange@previa.se,
 Marknadsområden, MO Norr,155,Dalarna,Borganäsvägen 30,784 33,BORLÄNGE,Borganäsvägen 30,784 33,BORLÄNGE,0771-230000,0243-82394,borlange@previa.se,209900220,155,FALUN,Åsgatan 25,791 71,Falun,0771-230000,023-69540,falun@previa.se,
HK,Affärsutveckling,273,Sjuk & Frisk,Visborgsallén 39 3 tr,621 50,Visby,Box 1161,621 22,Visby,0771-230000,0498-20 74 51,:,1,,,,,,,,,
HK,Telefonservice,720,Gemensam växel,Visborgsallén 39 3 tr,621 50,Visby ,Visborgsallén 39 3 tr,621 50,Visby ,1,1 ,: ,1 ,720,Central bokning,Visborgsallén 39 3 tr,621 50,Visby ,,,,
 Marknadsområden, MO Norr,160,Gävle,"Drottninggatan 6, 1 tr",803 20,GÄVLE,"Drottninggatan 6, 1 tr",803 20,GÄVLE,0771-230000,026-102704,gavle@previa.se,2159620022000,,,,,,,,,
 Marknadsområden, MO Norr,160,Gävle,"Drottninggatan 6, 1 tr",803 20,GÄVLE,"Drottninggatan 6, 1 tr",803 20,GÄVLE,0771-230000,026-102704,gavle@previa.se,2159620022000,160,- Atlas Copco,C/O Atlas Copco,815 22,Tierp,0771-230000,,gavle@previa.se,
 Marknadsområden, MO Norr,160,Gävle,"Drottninggatan 6, 1 tr",803 20,GÄVLE,"Drottninggatan 6, 1 tr",803 20,GÄVLE,0771-230000,026-102704,gavle@previa.se,2159620022000,160,- Korsnäs,C/O Korsnäs,801 81,Gävle,0771-230000,,gavle@previa.se,
 Marknadsområden, MO Norr,160,Gävle,"Drottninggatan 6, 1 tr",803 20,GÄVLE,"Drottninggatan 6, 1 tr",803 20,GÄVLE,0771-230000,026-102704,gavle@previa.se,2159620022000,160,Falun webbokningar,Trotzgatan 37 B,791 72,Falun,0771-230000,026-102704,,
 Marknadsområden, MO Norr,160,Gävle,"Drottninggatan 6, 1 tr",803 20,GÄVLE,"Drottninggatan 6, 1 tr",803 20,GÄVLE,0771-230000,026-102704,gavle@previa.se,2159620022000,160,GÄVLE,"Drottninggatan 6, 1 tr",803 20,GÄVLE,0771-230000,026-102704,gavle@previa.se,
 Marknadsområden, MO Norr,160,Gävle,"Drottninggatan 6, 1 tr",803 20,GÄVLE,"Drottninggatan 6, 1 tr",803 20,GÄVLE,0771-230000,026-102704,gavle@previa.se,2159620022000,160,Hofors,Företgagarhuset,813 32,HOFORS,0771-230000,,gavle@previa.se,
 Marknadsområden, MO Norr,160,Gävle,"Drottninggatan 6, 1 tr",803 20,GÄVLE,"Drottninggatan 6, 1 tr",803 20,GÄVLE,0771-230000,026-102704,gavle@previa.se,2159620022000,160,Skutskär,Roosvägen 2 C,814 23,Skutskär,0771-230000,,gavle@previa.se,
 Marknadsområden, MO Norr,144,Örnsköldsvik,Fröjastigen 1,89136,ÖRNSKÖLDSVIK,Fröjastigen 1,891 36,ÖRNSKÖLDSVIK,0771-230000,0660-860 48,ornskoldsvik@previa.se,,,,,,,,,,
 Marknadsområden, MO Norr,144,Örnsköldsvik,Fröjastigen 1,89136,ÖRNSKÖLDSVIK,Fröjastigen 1,891 36,ÖRNSKÖLDSVIK,0771-230000,0660-860 48,ornskoldsvik@previa.se,,144,HUSUM,Bruksvägen 90 B,896 32,HUSUM,0771-230000,0663-610 50,ornskoldsvik@previa.se,
 Marknadsområden, MO Norr,144,Örnsköldsvik,Fröjastigen 1,89136,ÖRNSKÖLDSVIK,Fröjastigen 1,891 36,ÖRNSKÖLDSVIK,0771-230000,0660-860 48,ornskoldsvik@previa.se,,144,Nordmaling,Åsgatan 4,914 32,Nordmaling,0771-230000,,ornskoldsvik@previa.se,
 Marknadsområden, MO Norr,144,Örnsköldsvik,Fröjastigen 1,89136,ÖRNSKÖLDSVIK,Fröjastigen 1,891 36,ÖRNSKÖLDSVIK,0771-230000,0660-860 48,ornskoldsvik@previa.se,,144,ÖRNSKÖLDSVIK,Box 70,891 22,ÖRNSKÖLDSVIK,0771-230000,0660-860 49,ornskoldsvik@previa.se,
Övriga,Övriga,590,ESF-ALERT,,,,,,,,,,,,,,,,,,,
 Marknadsområden, MO Stockholm,227,Stockholm City,Kungsgatan 56,111 22,Stockholm,Kungsgatan 56,111 22,Stockholm,0771-230000,,,0190412010285,,,,,,,,,
 Marknadsområden, MO Stockholm,227,Stockholm City,Kungsgatan 56,111 22,Stockholm,Kungsgatan 56,111 22,Stockholm,0771-230000,,,0190412010285,227,STOCKHOLM City,Kungsgatan 56,111 22,Stockholm,0771-230000,,,
HK,Försäljning,741,MO Key Accounts,Box 6047,102 31,Stockholm,Box 6047,102 31,Stockholm,0771-230000,08-6274399,:,1,,,,,,,,,
 Marknadsområden, MO Stockholm,744,FMC Stockholm,Box 6047,102 31,Stockholm,Box 6047,102 31,Stockholm,0771-230000,08-6274399,:,1,,,,,,,,,
 Marknadsområden, MO Norr,742,FMC Norr,Storgatan 115,903 33,Umeå,Storgatan 115,903 33,Umeå,0771-230000,08-6274399,:,1,,,,,,,,,
 Marknadsområden, MO Norr,743,FMC Uppland-GävleDala,Märstagatan 2,753 23,Uppsala,Märstagatan 2,753 23,Uppsala,0771-230000,08-6274399,:,1,,,,,,,,,
 Marknadsområden, MO Öst,745,FMC Öst,Fredsgatan 2,703 62,Örebro,Fredsgatan 2,703 62,Örebro,0771-230000,08-6274399,:,1,,,,,,,,,
 Marknadsområden, MO Sydväst,746,FMC Västra Götaland,Box 11939,404 39,Göteborg,Box 11939,404 39,Göteborg,0771-230000,08-6274399,:,1,,,,,,,,,
 Marknadsområden, MO Norr,175,Uppsala,S:t Persgatan 10,753 20,UPPSALA,S:t Persgatan 10,753 20,UPPSALA,0771-230000,018-158865,uppsala@previa.se,0380509920004,,,,,,,,,
 Marknadsområden, MO Norr,175,Uppsala,S:t Persgatan 10,753 20,UPPSALA,S:t Persgatan 10,753 20,UPPSALA,0771-230000,018-158865,uppsala@previa.se,0380509920004,175,- Forsmark,Forsmarks kärnkraftverk,742 03,ÖSTHAMMAR,0771-230000,,uppsala@previa.se,
 Marknadsområden, MO Norr,175,Uppsala,S:t Persgatan 10,753 20,UPPSALA,S:t Persgatan 10,753 20,UPPSALA,0771-230000,018-158865,uppsala@previa.se,0380509920004,175,- Statens Veterinärmedicinska Anstalt (SVA),Ulls väg 2B,756 51,UPPSALA,0771-230000,,uppsala@previa.se,
 Marknadsområden, MO Norr,175,Uppsala,S:t Persgatan 10,753 20,UPPSALA,S:t Persgatan 10,753 20,UPPSALA,0771-230000,018-158865,uppsala@previa.se,0380509920004,175,"UPPSALA, S:T PERSGATAN",S:t Persgatan 10,753 20,Uppsala,0771-230000,,uppsala@previa.se,
 Marknadsområden, MO Öst,747,FMC Småland-Halland-Blekinge,Klubbhusgatan 13,553 03,Jonköping,Klubbhusgatan 13,553 03,Jonköping,0771-230000,08-6274399,:,1,,,,,,,,,
 Marknadsområden, MO Sydväst,748,FMC Sydväst,Järnvägsgatan 35,252 25,Helsingborg,Järnvägsgatan 35,252 25,Helsingborg,0771-230000,08-6274399,:,1,,,,,,,,,
HK,Kris- och personalstöd,780,Kris- och personalstöd,Box 6047,102 31,Stockholm,Box 6047,102 31,Stockholm,0771-230000,08-6274399,:,1,780,K24,Box 6047,102 31,Stockholm,,,,
 Marknadsområden, MO Norr,146,Östersund,Kyrkgatan 43,831 34,Östersund,Kyrkgatan 43,831 34,Östersund,0771-230000,,,2332484030,146,ÖSTERSUND,Kyrkgatan 43,831 34,Östersund,0771-230000,063-151569,ostersund@previa.se,2332484030
 Marknadsområden, MO Norr,752,MOC Norr,Storgatan 115,903 33,Umeå,Storgatan 115,903 33,Umeå,0771-230000,08-6274399,:,1,,,,,,,,,
